terminal,concourse,gate,imageX,imageY
A,A1,0,,
A,A1,10,,
A,A1,12,,
A,A1,14,,
A,A1,16,,
A,A1,18,,
A,A2,0,,
A,A2,20,,
A,A2,22,,
A,A2,24,,
A,A2,26,,
A,A2,28,,
A,A3,0,,
A,A3,30,,
A,A3,32,,
A,A3,34,,
A,A3,36,,
A,A3,38,,
A,Pre-Security,-1,,
A,Pre-Security,-2,,
A,Pre-Security,-3,,
A,Pre-Security,-4,,
A,Pre-Security,-5,,
A,Pre-Security,-6,,
A,Pre-Security,-7,,
A,Pre-Security,-8,,
A,Pre-Security,-9,,
A,Pre-Security,-10,,
A,Pre-Security,-11,,
A,Pre-Security,-12,,
B,B1,0,,
B,B1,-1,,
B,B1,-2,,
B,B1,40,,
B,B1,41,,
B,B1,42,,
B,B1,44,,
B,B1,45,,
B,B1,46,,
B,B1,47,,
B,B2,0,,
B,B2,51,,
B,B2,52,,
B,B2,54,,
B,B2,56,,
B,B3,63,,
B,B3,62,,
B,B3,64,,
B,B3,66,,
B,B3,68,,
B,B3,-1,,
B,B3,-2,,
B,B3,0,,
B,Pre-Security,-1,,
B,Pre-Security,-2,,
B,Pre-Security,-3,,
B,Pre-Security,-4,,
B,Pre-Security,-5,,
B,Pre-Security,-6,,
B,Pre-Security,-7,,
B,Pre-Security,-8,,
B,Pre-Security,-9,,
B,Pre-Security,-10,,
B,Pre-Security,-11,,
B,Pre-Security,-12,,
B,Pre-Security,-13,,
B,Pre-Security,-14,,
C,Pre-Security,-1,,
C,Pre-Security,-2,,
C,Pre-Security,-3,,
C,Pre-Security,-4,,
C,Pre-Security,-5,,
C,Pre-Security,-6,,
C,Pre-Security,-7,,
C,Pre-Security,-8,,
C,Pre-Security,-9,,
C,Pre-Security,-10,,
C,Pre-Security,-11,,
C,Pre-Security,-12,,
C,Pre-Security,-13,,
C,Pre-Security,-14,,
C,Pre-Security,-15,,
P3,Car-Rental-Counters,-1,,
P4,Daily-Parking,-1,,
