fromTerminal,fromConcourse,toTerminal,toConcourse,fromTerminalLastGate,toTerminalFirstGate,nextTerminalDistanceUnits,flagToRenterSecurity,connectionText
A,A1,A,A2,0,0,20,Y,
A,A1,A,A3,0,0,40,Y,
A,A1,A,Pre-Security,18,-1,60,Y,
A,A1,B,B1,18,-1,80,Y,
A,A1,B,B2,18,51,100,Y,
A,A1,B,B3,18,63,120,Y,
A,A1,B,Pre-Security,18,-2,140,Y,
A,A1,C,Pre-Security,18,-2,160,Y,
A,A1,P3,Car-Rental-Counters,18,-1,180,Y,
A,A1,P4,Daily-Parking,18,-1,200,Y,
A,A2,A,A1,28,0,20,Y,
A,A2,A,A3,28,0,20,Y,
A,A2,A,Pre-Security,28,-1,40,Y,
A,A2,B,B1,28,-1,60,Y,
A,A2,B,B2,28,51,80,Y,
A,A2,B,B3,28,63,100,Y,
A,A2,B,Pre-Security,28,-2,120,Y,
A,A2,C,Pre-Security,28,-2,140,Y,
A,A2,P3,Car-Rental-Counters,28,-1,160,Y,
A,A2,P4,Daily-Parking,28,-1,180,Y,
A,A3,A,A1,38,0,40,Y,
A,A3,A,A2,38,0,20,Y,
A,A3,A,Pre-Security,38,-1,20,Y,
A,A3,B,B1,38,-1,40,Y,
A,A3,B,B2,38,51,60,Y,
A,A3,B,B3,38,63,80,Y,
A,A3,B,Pre-Security,38,-2,100,Y,
A,A3,C,Pre-Security,38,-2,120,Y,
A,A3,P3,Car-Rental-Counters,38,-1,140,Y,
A,A3,P4,Daily-Parking,38,-1,160,Y,
A,Pre-Security,A,A1,-12,0,60,Y,
A,Pre-Security,A,A2,-12,0,40,Y,
A,Pre-Security,A,A3,-12,0,20,Y,
A,Pre-Security,B,B1,-12,-1,20,Y,
A,Pre-Security,B,B2,-12,51,40,Y,
A,Pre-Security,B,B3,-12,63,60,Y,
A,Pre-Security,B,Pre-Security,-12,63,80,Y,
A,Pre-Security,C,Pre-Security,-12,-2,100,Y,
A,Pre-Security,P3,Car-Rental-Counters,-12,-1,120,Y,
A,Pre-Security,P4,Daily-Parking,-12,-1,140,Y,
B,B1,A,A1,47,0,80,Y,
B,B1,A,A2,47,0,60,Y,
B,B1,A,A3,47,0,40,Y,
B,B1,A,Pre-Security,47,-1,20,Y,
B,B1,B,B2,47,51,20,Y,
B,B1,B,B3,47,63,40,Y,
B,B1,B,Pre-Security,47,-2,60,Y,
B,B1,C,Pre-Security,47,-2,80,Y,
B,B1,P3,Car-Rental-Counters,47,-1,100,Y,
B,B1,P4,Daily-Parking,47,-1,120,Y,
B,B2,A,A1,56,0,100,Y,
B,B2,A,A2,56,0,80,Y,
B,B2,A,A3,56,0,60,Y,
B,B2,A,Pre-Security,56,-1,40,Y,
B,B2,B,B1,56,-1,20,Y,
B,B2,B,B3,56,63,20,Y,
B,B2,B,Pre-Security,56,-2,40,Y,
B,B2,C,Pre-Security,56,-2,60,Y,
B,B2,P3,Car-Rental-Counters,56,-1,80,Y,
B,B2,P4,Daily-Parking,56,-1,100,Y,
B,B3,A,A1,0,0,120,Y,
B,B3,A,A2,0,0,100,Y,
B,B3,A,A3,0,0,80,Y,
B,B3,A,Pre-Security,0,-1,60,Y,
B,B3,B,B1,0,-1,40,Y,
B,B3,B,B2,0,51,20,Y,
B,B3,B,Pre-Security,0,-2,20,Y,
B,B3,C,Pre-Security,0,-2,40,Y,
B,B3,P3,Car-Rental-Counters,0,-1,60,Y,
B,B3,P4,Daily-Parking,0,-1,80,Y,
B,Pre-Security,A,A1,-14,0,140,Y,
B,Pre-Security,A,A2,-14,0,120,Y,
B,Pre-Security,A,A3,-14,0,100,Y,
B,Pre-Security,A,Pre-Security,-14,-1,80,Y,
B,Pre-Security,B,B1,-14,-1,60,Y,
B,Pre-Security,B,B2,-14,51,40,Y,
B,Pre-Security,B,B3,-14,63,20,Y,
B,Pre-Security,C,Pre-Security,-14,-2,20,Y,
B,Pre-Security,P3,Car-Rental-Counters,-14,-1,40,Y,
B,Pre-Security,P4,Daily-Parking,-14,-1,60,Y,
C,Pre-Security,A,A1,-15,0,160,Y,
C,Pre-Security,A,A2,-15,0,140,Y,
C,Pre-Security,A,A3,-15,0,120,Y,
C,Pre-Security,A,Pre-Security,-15,-1,100,Y,
